epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.15209124982357025,0.0010000000474974513,2.343881130218506,0.01706722378730774,2.2181224822998047
1,0.234375,0.0010000000474974513,1.9567627906799316,0.01741553470492363,2.216132640838623
2,0.16411888599395752,0.0010000000474974513,2.1997625827789307,0.23789620399475098,2.0842490196228027
3,0.296875,0.0010000000474974513,2.397153615951538,0.23963776230812073,2.0854973793029785
4,0.20144331455230713,0.0010000000474974513,2.073983907699585,0.1964472383260727,2.04416823387146
5,0.15625,0.0010000000474974513,2.232697010040283,0.17589689791202545,2.0768251419067383
6,0.21191899478435516,0.0010000000474974513,1.9988771677017212,0.027864854782819748,2.642977237701416
7,0.1875,0.0010000000474974513,1.931342363357544,0.05781957507133484,2.5017216205596924
8,0.27628618478775024,0.0010000000474974513,1.9400310516357422,0.23928944766521454,1.9630100727081299
9,0.375,0.0010000000474974513,1.5659838914871216,0.23023337125778198,1.9817885160446167
10,0.2951035797595978,0.0010000000474974513,1.905734658241272,0.24172762036323547,2.3122024536132812
11,0.265625,0.0010000000474974513,1.6841017007827759,0.26053640246391296,2.232011318206787
12,0.335221529006958,0.0010000000474974513,1.86417555809021,0.35005223751068115,1.9252103567123413
13,0.390625,0.0010000000474974513,2.8993940353393555,0.3510971665382385,1.9284216165542603
14,0.3638938367366791,0.0010000000474974513,1.8180574178695679,0.2856147587299347,2.0461490154266357
15,0.421875,0.0010000000474974513,2.018832206726074,0.2842215299606323,2.079281806945801
16,0.4009466767311096,0.0010000000474974513,1.7686036825180054,0.2633228898048401,2.2641565799713135
17,0.359375,0.0005000000237487257,1.5986145734786987,0.2629745602607727,2.2763969898223877
18,0.43027856945991516,0.0005000000237487257,1.6870362758636475,0.43921977281570435,1.608466625213623
19,0.546875,0.0005000000237487257,1.502650499343872,0.44235458970069885,1.609804391860962
20,0.44874680042266846,0.0005000000237487257,1.6231170892715454,0.2953674793243408,2.017137050628662
21,0.390625,0.0005000000237487257,1.7697633504867554,0.2929292917251587,2.016641855239868
22,0.45239388942718506,0.0005000000237487257,1.6053261756896973,0.4813653826713562,1.5498095750808716
23,0.5625,0.0005000000237487257,1.6010700464248657,0.48275861144065857,1.5447766780853271
24,0.46360674500465393,0.0005000000237487257,1.5704251527786255,0.4702194333076477,1.5523309707641602
25,0.375,0.0005000000237487257,1.6917541027069092,0.4705677330493927,1.5495941638946533
26,0.4679521918296814,0.0005000000237487257,1.5514357089996338,0.4743991494178772,1.5409228801727295
27,0.359375,0.0005000000237487257,1.3383768796920776,0.4737025499343872,1.5418251752853394
28,0.48188096284866333,0.0005000000237487257,1.5308886766433716,0.48380354046821594,1.5263875722885132
29,0.453125,0.0005000000237487257,1.633934497833252,0.48380354046821594,1.5231448411941528
30,0.48385971784591675,0.0005000000237487257,1.5179316997528076,0.4406130313873291,1.6853058338165283
31,0.390625,0.0005000000237487257,2.4731557369232178,0.44653430581092834,1.6617591381072998
32,0.49383097887039185,0.0005000000237487257,1.4973019361495972,0.5047022104263306,1.4391676187515259
33,0.40625,0.0005000000237487257,1.3626717329025269,0.5067920684814453,1.4373693466186523
34,0.4998060166835785,0.0005000000237487257,1.4666039943695068,0.5203761458396912,1.4289731979370117
35,0.46875,0.0005000000237487257,1.2916117906570435,0.5130616426467896,1.4400666952133179
36,0.507332980632782,0.0005000000237487257,1.473187804222107,0.4824103116989136,1.5504395961761475
37,0.578125,0.0005000000237487257,1.2608369588851929,0.46429815888404846,1.609860897064209
38,0.5068286061286926,0.0005000000237487257,1.4567804336547852,0.4966910481452942,1.5382121801376343
39,0.625,0.0002500000118743628,1.1955156326293945,0.4886799156665802,1.5639139413833618
40,0.5303406715393066,0.0002500000118743628,1.3843557834625244,0.5308254957199097,1.438768744468689
41,0.53125,0.0002500000118743628,1.3852009773254395,0.5294322371482849,1.4397939443588257
42,0.5446574091911316,0.0002500000118743628,1.3555965423583984,0.5754092931747437,1.3250089883804321
43,0.53125,0.0002500000118743628,1.2217812538146973,0.5708812475204468,1.3321553468704224
44,0.5513696074485779,0.0002500000118743628,1.3281512260437012,0.577847421169281,1.2843493223190308
45,0.515625,0.0002500000118743628,1.356892704963684,0.5754092931747437,1.282576322555542
46,0.5544735193252563,0.0002500000118743628,1.3128395080566406,0.4932079315185547,1.6303260326385498
47,0.65625,0.0002500000118743628,1.1271796226501465,0.48310694098472595,1.676657795906067
48,0.5600605010986328,0.0002500000118743628,1.2975201606750488,0.5635666847229004,1.3426657915115356
49,0.5,0.0002500000118743628,1.4864460229873657,0.562521755695343,1.34116792678833
50,0.5696050524711609,0.0001250000059371814,1.2595477104187012,0.5795890092849731,1.2619709968566895
51,0.609375,0.0001250000059371814,1.1988065242767334,0.5785440802574158,1.2614825963974
52,0.5820982456207275,0.0001250000059371814,1.233098030090332,0.5781957507133484,1.2784632444381714
53,0.65625,0.0001250000059371814,1.105244517326355,0.5747126340866089,1.2861647605895996
54,0.5827190279960632,0.0001250000059371814,1.2289103269577026,0.5844653248786926,1.2615281343460083
55,0.609375,0.0001250000059371814,1.1089105606079102,0.5858585834503174,1.2585868835449219
56,0.58202064037323,0.0001250000059371814,1.2149585485458374,0.5823754668235779,1.2552422285079956
57,0.515625,0.0001250000059371814,1.1712243556976318,0.5830721259117126,1.2598570585250854
58,0.5902847647666931,0.0001250000059371814,1.1923670768737793,0.6025775074958801,1.2190237045288086
59,0.640625,0.0001250000059371814,1.038581132888794,0.5997909903526306,1.22054123878479
